team_a_goals,team_b_goals,probability
0,0,0.1016879036128137
0,1,0.05712058558327068
0,2,0.018612397826617968
0,3,0.004043158280199803
0,4,0.0006587193532650267
0,5,8.585588914306897e-05
0,6,9.32520764724573e-06
0,7,8.68160740370834e-07
0,8,7.072123347578946e-08
0,9,5.120908177749818e-09
0,10,3.337234002929253e-10
1,0,0.16533258755699842
1,1,0.08504912860362325
1,2,0.03351602874014029
1,3,0.007560793425005159
1,4,0.001277458727110602
1,5,0.0001724493992124273
1,6,1.937662761578288e-05
1,7,1.8640810062248875e-06
1,8,1.5674979646962458e-07
1,9,1.1705018051101867e-08
1,10,7.859238729402846e-10
2,0,0.1374051847900206
2,1,0.0970104157662039
2,2,0.025873299799787138
2,3,0.007040310479102971
2,4,0.0012323677846236886
2,5,0.00017215983340615617
2,6,1.9996823263984087e-05
2,7,1.986654851640521e-06
2,8,1.723557720091917e-07
2,9,1.3266640009041585e-08
2,10,9.174215405413666e-10
3,0,0.07613012085178814
3,1,0.05581721535289052
3,2,0.020377815402782794
3,3,0.003743789457780727
3,4,0.0007887619951345299
3,5,0.000113934136169746
3,6,1.367048025093227e-05
3,7,1.4016836834974091e-06
3,8,1.253952500718701e-07
3,9,9.944533115273538e-09
3,10,7.079749010849229e-10
4,0,0.031635243475882285
4,1,0.024053742282208027
4,2,0.009097899408388878
4,3,0.002283030894914458
4,4,0.0003241161024879128
4,5,5.624795884031917e-05
4,6,6.966747160382737e-06
4,7,7.367708736849155e-07
4,8,6.792920831754202e-08
4,9,5.5478339688165245e-09
4,10,4.0644731216268107e-10
5,0,0.010516611491808466
5,1,0.00828194693888071
5,2,0.003241661101228686
5,3,0.0008411136050351651
5,4,0.00016280681447693627
5,5,1.9006615653029554e-05
5,6,2.823922333494622e-06
5,7,3.0783992389948543e-07
5,8,2.9235290716795702e-08
5,9,2.4577148315706377e-09
5,10,1.8521595252310475e-10
6,0,0.002913394079874745
6,1,0.0023734710185933272
6,2,0.0009603549213557185
6,3,0.00025740652269344875
6,4,5.14316956834403e-05
6,5,8.173697480324908e-06
6,6,8.157648232663757e-07
6,7,1.065312393079785e-07
6,8,1.041559332063523e-08
6,9,9.008612961765775e-10
6,10,6.980514563266997e-11
7,0,0.000691792495921648
7,1,0.0005823787280003964
7,2,0.00024334821351863444
7,3,6.731638350053372e-05
7,4,1.3872930953110813e-05
7,5,2.2726143091924596e-06
7,6,3.083491751807316e-07
7,7,2.7014991423920466e-08
7,8,3.1603666500191113e-09
7,9,2.8109543054319684e-10
7,10,2.2386229266635512e-11
8,0,0.000143734331421041
8,1,0.00012490582433917987
8,2,5.3847625146677515e-05
8,3,1.5359844747825147e-05
8,4,3.2623256529473297e-06
8,5,5.504820887934237e-07
8,6,7.689264640974198e-08
8,7,9.147518194028011e-09
8,8,7.171354903919012e-10
8,9,7.624059943065548e-11
8,10,6.237713191086731e-12
9,0,2.6545606796320195e-05
9,1,2.378936086320232e-05
9,2,1.0571500849518442e-05
9,3,3.1068845865017667e-06
9,4,6.795621716045231e-07
9,5,1.1803267462181592e-07
9,6,1.6962650135287836e-08
9,7,2.075174297111865e-09
9,8,2.2067448104836328e-10
9,9,1.570615614631508e-11
9,10,1.534505060588805e-12
10,0,4.4123231373901125e-06
10,1,4.074048074824362e-06
10,2,1.864573979837567e-06
10,3,5.64148666365877e-07
10,4,1.2698282309944038e-07
10,5,2.2687368731629775e-08
10,6,3.3524182446032584e-09
10,7,4.215185806182628e-10
10,8,4.60496353920972e-11
10,9,4.4415457176398335e-12
10,10,2.902525480669858e-13
